"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2012","86.53","104.89","106.43","85.86","5.81M","-17.49%"
"Abr 2012","104.87","103.27","105.49","100.68","4.48M","1.80%"
"Mar 2012","103.02","106.82","110.55","102.13","5.74M","-3.78%"
"Feb 2012","107.07","98.38","109.95","95.44","5.54M","8.72%"
"Ene 2012","98.48","99.70","103.74","97.40","5.41M","-0.35%"
"Dic 2011","98.83","100.51","102.44","92.52","4.70M","-1.52%"
"Nov 2011","100.36","92.58","103.37","89.17","6.24M","7.69%"
"Oct 2011","93.19","78.92","94.65","74.95","6.57M","17.66%"
"Sep 2011","79.20","88.73","90.52","77.11","6.45M","-10.82%"
"Ago 2011","88.81","96.20","98.60","75.71","8.28M","-7.20%"
"Jul 2011","95.70","95.12","100.62","93.45","5.45M","0.29%"
"Jun 2011","95.42","102.68","103.31","89.61","7.33M","-7.09%"
"May 2011","102.70","113.89","114.83","94.63","7.60M","-9.86%"
"Abr 2011","113.93","106.62","114.18","105.31","5.62M","6.76%"
"Mar 2011","106.72","96.97","106.95","96.22","6.87M","10.05%"
"Feb 2011","96.97","92.20","103.41","83.85","6.10M","5.18%"
"Ene 2011","92.19","91.31","92.84","85.11","6.93M","0.89%"
"Dic 2010","91.38","83.66","92.06","83.63","5.43M","8.64%"
"Nov 2010","84.11","81.45","88.63","80.06","6.76M","3.29%"
"Oct 2010","81.43","79.84","84.43","79.25","6.45M","1.83%"
"Sep 2010","79.97","71.70","80.18","71.67","6.82M","11.19%"
"Ago 2010","71.92","78.95","82.97","70.76","6.81M","-8.90%"
"Jul 2010","78.95","75.37","79.69","71.09","6.21M","4.39%"
"Jun 2010","75.63","73.97","79.38","69.51","7.26M","2.24%"
"May 2010","73.97","86.20","87.15","64.24","7.89M","-14.14%"
"Abr 2010","86.15","83.36","87.09","80.53","7.25M","2.85%"
"Mar 2010","83.76","79.84","83.85","78.06","6.52M","5.15%"
"Feb 2010","79.66","72.84","80.51","69.50","6.57M","9.29%"
"Ene 2010","72.89","79.63","83.95","72.43","5.38M","-8.15%"
"Dic 2009","79.36","77.35","80.00","68.59","5.66M","2.69%"
"Nov 2009","77.28","77.02","81.06","72.39","6.45M","0.36%"
"Oct 2009","77.00","70.40","82.00","68.05","6.92M","9.05%"
"Sep 2009","70.61","69.85","73.16","65.05","5.75M","0.93%"
"Ago 2009","69.96","69.30","75.00","65.23","5.72M","0.73%"
"Jul 2009","69.45","70.45","71.85","58.32","5.91M","-0.63%"
"Jun 2009","69.89","66.48","73.38","64.95","5.60M","5.40%"
"May 2009","66.31","50.95","66.64","50.43","5.04M","29.71%"
"Abr 2009","51.12","48.96","53.90","43.83","4.69M","2.94%"
"Mar 2009","49.66","44.34","54.66","39.44","5.17M","10.95%"
"Feb 2009","44.76","41.75","45.30","33.55","4.86M","7.39%"
"Ene 2009","41.68","43.72","50.47","32.70","5.13M","-6.55%"
"Dic 2008","44.60","54.62","54.62","32.40","4.47M","-18.06%"
"Nov 2008","54.43","67.37","71.77","48.25","4.52M","-19.73%"
"Oct 2008","67.81","101.86","102.84","61.30","5.69M","-32.62%"
"Sep 2008","100.64","116.65","130.00","90.51","5.66M","-12.84%"
"Ago 2008","115.46","124.06","128.60","111.34","5.46M","-6.95%"
"Jul 2008","124.08","140.18","147.27","120.42","5.83M","-11.37%"
"Jun 2008","140.00","127.63","143.67","121.61","6.23M","9.93%"
"May 2008","127.35","114.60","135.09","110.30","6.80M","12.24%"
"Abr 2008","113.46","101.57","119.93","99.55","5.63M","11.70%"
"Mar 2008","101.58","101.63","111.80","98.65","5.99M","-0.26%"
"Feb 2008","101.84","91.36","103.05","86.24","5.14M","11.00%"
"Ene 2008","91.75","96.05","100.09","86.11","5.46M","-4.41%"
"Dic 2007","95.98","88.79","97.92","85.82","4.25M","8.20%"
"Nov 2007","88.71","95.15","99.29","88.45","6.16M","-6.16%"
"Oct 2007","94.53","81.75","95.28","78.35","6.02M","15.76%"
"Sep 2007","81.66","73.90","83.90","73.48","4.78M","10.29%"
"Ago 2007","74.04","77.94","78.77","68.63","4.98M","-5.33%"
"Jul 2007","78.21","70.52","78.28","69.57","4.25M","10.65%"
"Jun 2007","70.68","64.23","71.06","63.80","4.42M","10.42%"
"May 2007","64.01","65.66","66.38","60.68","4.71M","-2.59%"
